respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.19182960636462493,0.5125551460329273
26708,0.0799097135090797,0.08751519525290764
26709,0.39488931131019445,0.6384628134107224
26710,0.4608209706441616,0.7706160875122311
26711,0.22955020110252514,0.3644243832354225
26712,0.2436146828677264,0.8238315707618368
26713,0.4592019978350358,0.7256271905461952
26714,0.2071101320213364,0.26298602573982405
26715,0.0409874950613714,0.16078960993318026
26716,0.24698938000646736,0.8837346297912386
26717,0.03654380015367194,0.40159100150713983
26718,0.1999202835226043,0.31842793687836046
26719,0.11292837846051208,0.9443787974999817
26720,0.0822588429144608,0.17973210042529106
26721,0.68697471723749,0.6553955579008316
26722,0.0638145675035954,0.10685003113668831
26723,0.565099466556333,0.9079705084862529
26724,0.11405191297514548,0.6462095546424269
26725,0.12397830224501111,0.27812732699304377
26726,0.018720334034817952,0.05759803308909813
26727,0.5157738396063621,0.8770323892459153
26728,0.12412372848954967,0.36717638146881354
26729,0.15912147732135298,0.4594343919552291
26730,0.0717586115543143,0.22135514867408723
26731,0.019010522548217466,0.3252233624461173
26732,0.07403485249587753,0.060105027951730415
26733,0.8903377586539071,0.9486193765012378
26734,0.8556497638027236,0.2114178344443349
26735,0.10070618256962853,0.17639788662160727
26736,0.09826820228219955,0.19840399587224516
26737,0.10871058854437196,0.1051778103673601
26738,0.5995074844951516,0.7099383665564387
26739,0.09944832516278135,0.22869322508331102
26740,0.2533068191077222,0.2715305907952406
26741,0.1541300513847226,0.8154931906595582
26742,0.20468269815491277,0.5491234351443866
26743,0.04162254442306916,0.6134858116857587
26744,0.07142632671904128,0.5726678637974522
26745,0.024740218320237192,0.8008123134753398
26746,0.11987054823400757,0.29954507567927985
26747,0.08742453250018409,0.2345226747184467
26748,0.08770099473148446,0.1534243079229668
26749,0.08922395932043957,0.8292579947088817
26750,0.5824188915880991,0.8772028229058442
26751,0.22690824646093796,0.6260474603482359
26752,0.04356470310420565,0.031667224454173054
26753,0.14551469085060525,0.5864534690813528
26754,0.18613642554916346,0.7512467710639822
26755,0.03736335790192055,0.11244581255318857
26756,0.0114705155575886,0.025761484524219003
26757,0.2485651384428698,0.2973998888590199
26758,0.8339341864375154,0.9636554439164602
26759,0.03362808742308299,0.10515030337742814
26760,0.012282524482418265,0.02630620211602091
26761,0.33701133625739266,0.8813760378688271
